,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Gender_Male,Retirement,EstimatedSalary / Age,CreditScore / Age,NumOfProducts / Tenure,EstimatedSalary / CreditScore,EstimatedSalary / Balance,EstimatedSalary / Tenure,EstimatedSalary / NumOfProducts,CreditScore / Tenure,Exited
10,3.0,2.0,6.0,102016.72,2.0,0.0,0.0,80181.12,0.0,0.0,1.0,0.0,2586.487741935484,17.032258064516128,0.2857142857142857,151.8581818181818,0.7859528717167958,11454.445714285714,40090.56,75.42857142857143,0
11,2.0,1.0,3.0,0.0,2.0,1.0,0.0,76390.01,0.0,1.0,1.0,0.0,3182.9170833333333,20.708333333333332,0.5,153.7022334004024,76390.01,19097.5025,38195.005,124.25,0
12,2.0,2.0,10.0,0.0,2.0,1.0,0.0,26260.98,0.0,0.0,0.0,0.0,772.3817647058823,14.0,0.18181818181818182,55.170126050420166,26260.98,2387.3618181818183,13130.49,43.27272727272727,0
13,3.0,1.0,5.0,0.0,2.0,0.0,0.0,190857.79,0.0,0.0,0.0,0.0,7634.3116,21.96,0.3333333333333333,347.646247723133,190857.79,31809.631666666668,95428.895,91.5,0
14,4.0,2.0,7.0,0.0,2.0,1.0,1.0,65951.65,0.0,1.0,0.0,0.0,1884.332857142857,18.142857142857142,0.25,103.86086614173227,65951.65,8243.95625,32975.825,79.375,0
15,4.0,3.0,3.0,143129.41,2.0,0.0,1.0,64327.26,1.0,0.0,1.0,0.0,1429.4946666666667,13.688888888888888,0.5,104.42737012987013,0.44943111669979846,16081.815,32163.63,154.0,0
16,4.0,4.0,1.0,132602.88,1.0,1.0,0.0,5097.67,1.0,0.0,1.0,0.0,87.89086206896552,11.258620689655173,0.5,7.806539050535988,0.038442841943991383,2548.835,5097.67,326.5,1
17,3.0,1.0,9.0,0.0,2.0,1.0,1.0,14406.41,0.0,1.0,0.0,0.0,600.2670833333333,22.875,0.2,26.241183970856103,14406.41,1440.641,7203.205,54.9,0
18,3.0,3.0,6.0,0.0,1.0,0.0,0.0,158684.81,0.0,1.0,1.0,0.0,3526.329111111111,13.044444444444444,0.14285714285714285,270.33187393526407,158684.81,22669.25857142857,158684.81,83.85714285714286,0
19,5.0,1.0,6.0,0.0,2.0,1.0,1.0,54724.03,0.0,0.0,0.0,0.0,2280.1679166666668,30.25,0.2857142857142857,75.3774517906336,54724.03,7817.7185714285715,27362.015,103.71428571428571,0
20,5.0,3.0,8.0,0.0,2.0,1.0,1.0,170886.17,0.0,0.0,1.0,0.0,4167.955365853659,17.853658536585368,0.2222222222222222,233.45105191256832,170886.17,18987.352222222224,85443.085,81.33333333333333,0
21,4.0,2.0,8.0,0.0,2.0,1.0,0.0,138555.46,0.0,1.0,0.0,0.0,4329.858125,19.875,0.2222222222222222,217.8544968553459,138555.46,15395.05111111111,69277.73,70.66666666666667,0
22,3.0,2.0,4.0,0.0,1.0,1.0,0.0,118913.53,0.0,1.0,0.0,0.0,3129.3034210526316,13.421052631578947,0.2,233.1637843137255,118913.53,23782.706,118913.53,102.0,1
23,5.0,3.0,3.0,0.0,2.0,0.0,1.0,8487.75,0.0,0.0,1.0,0.0,184.5163043478261,14.543478260869565,0.5,12.687219730941704,8487.75,2121.9375,4243.875,167.25,0
24,6.0,2.0,5.0,0.0,1.0,1.0,1.0,187616.16,0.0,0.0,0.0,0.0,4937.267368421053,22.263157894736842,0.16666666666666666,221.76851063829787,187616.16,31269.36,187616.16,141.0,0
25,3.0,1.0,3.0,0.0,2.0,0.0,1.0,124508.29,0.0,0.0,1.0,0.0,4980.3315999999995,23.08,0.5,215.7855979202773,124508.29,31127.0725,62254.145,144.25,0
26,5.0,2.0,2.0,136815.64,1.0,1.0,1.0,170041.95,1.0,0.0,1.0,0.0,4723.387500000001,21.0,0.3333333333333333,224.9232142857143,1.2428455339935258,56680.65,170041.95,252.0,0
27,3.0,3.0,9.0,0.0,2.0,0.0,0.0,38433.35,0.0,0.0,1.0,0.0,873.4852272727272,12.977272727272727,0.2,67.30884413309983,38433.35,3843.335,19216.675,57.1,0
28,3.0,3.0,3.0,141349.43,1.0,1.0,1.0,100187.43,1.0,0.0,0.0,0.0,2329.9402325581395,13.348837209302326,0.25,174.54256097560975,0.7087875855772069,25046.8575,100187.43,143.5,0
29,2.0,1.0,0.0,59697.17,2.0,1.0,1.0,53483.21,0.0,0.0,1.0,0.0,1844.2486206896551,14.172413793103448,2.0,130.12946472019465,0.8958936262200332,53483.21,26741.605,411.0,0
30,3.0,2.0,3.0,0.0,3.0,1.0,0.0,140469.38,0.0,1.0,0.0,0.0,3601.7789743589747,15.153846153846153,0.75,237.68084602368867,140469.38,35117.345,46823.12666666667,147.75,1
31,3.0,2.0,7.0,85311.7,1.0,0.0,1.0,156731.91,0.0,0.0,1.0,0.0,4353.6641666666665,14.805555555555555,0.125,294.0561163227017,1.8371462865435042,19591.48875,156731.91,66.625,0
32,3.0,3.0,9.0,110112.54,2.0,0.0,0.0,81898.81,1.0,0.0,1.0,0.0,1997.5319512195122,13.487804878048781,0.2,148.09911392405064,0.74376693365775,8189.880999999999,40949.405,55.3,0
33,3.0,3.0,6.0,0.0,2.0,1.0,1.0,34410.55,0.0,1.0,0.0,0.0,819.2988095238096,12.380952380952381,0.2857142857142857,66.17413461538462,34410.55,4915.792857142857,17205.275,74.28571428571429,0
34,5.0,1.0,9.0,0.0,2.0,1.0,1.0,142033.07,0.0,1.0,0.0,0.0,4897.692068965517,24.896551724137932,0.2,196.72170360110803,142033.07,14203.307,71016.535,72.2,0
35,2.0,3.0,0.0,134264.04,1.0,1.0,0.0,27822.99,0.0,0.0,0.0,0.0,618.2886666666667,10.555555555555555,1.0,58.574715789473686,0.2072243824602443,27822.99,27822.99,475.0,1
36,2.0,2.0,3.0,145260.23,1.0,0.0,1.0,114066.77,0.0,1.0,1.0,0.0,3679.573225806452,15.806451612903226,0.25,232.78932653061224,0.7852526789150828,28516.6925,114066.77,122.5,0
37,6.0,2.0,7.0,76548.6,1.0,0.0,1.0,98453.45,0.0,1.0,1.0,0.0,2983.4378787878786,24.363636363636363,0.125,122.45453980099502,1.286139313595368,12306.68125,98453.45,100.5,0
38,6.0,2.0,7.0,0.0,1.0,1.0,1.0,40812.9,0.0,0.0,1.0,0.0,1133.6916666666666,23.61111111111111,0.125,48.01517647058824,40812.9,5101.6125,40812.9,106.25,0
39,3.0,3.0,6.0,70349.48,2.0,0.0,1.0,178074.04,1.0,0.0,1.0,0.0,4343.269268292683,14.195121951219512,0.2857142857142857,305.9691408934708,2.5312412935917425,25439.148571428574,89037.02,83.14285714285714,0
40,2.0,2.0,4.0,0.0,1.0,1.0,0.0,70154.22,0.0,1.0,1.0,0.0,1753.8555000000001,11.8,0.2,148.63182203389832,70154.22,14030.844000000001,70154.22,94.4,0
41,2.0,4.0,8.0,122522.32,1.0,0.0,0.0,181297.65,0.0,0.0,0.0,0.0,3554.855882352941,9.117647058823529,0.1111111111111111,389.8874193548387,1.4796991299288984,20144.183333333334,181297.65,51.666666666666664,1
42,3.0,5.0,2.0,117419.35,1.0,1.0,1.0,94153.83,0.0,0.0,0.0,0.0,1543.5054098360656,9.114754098360656,0.3333333333333333,169.34142086330937,0.8018527452864856,31384.61,94153.83,185.33333333333334,0
43,6.0,3.0,2.0,131394.56,1.0,0.0,0.0,194365.76,0.0,0.0,0.0,0.0,3966.6481632653063,17.020408163265305,0.3333333333333333,233.05247002398082,1.4792414599093,64788.58666666667,194365.76,278.0,1
44,4.0,5.0,5.0,155931.11,1.0,1.0,1.0,158338.39,0.0,1.0,0.0,0.0,2595.71131147541,10.819672131147541,0.16666666666666666,239.90665151515154,1.0154315875030488,26389.73166666667,158338.39,110.0,0
45,5.0,2.0,4.0,109421.13,2.0,1.0,1.0,126517.46,1.0,0.0,0.0,0.0,3953.670625,24.25,0.4,163.0379639175258,1.1562328388233716,25303.492000000002,63258.73,155.2,0
46,6.0,1.0,9.0,112045.67,1.0,1.0,1.0,119708.21,1.0,0.0,0.0,0.0,4433.637407407407,30.703703703703702,0.1,144.40073582629674,1.0683781142268665,11970.821,119708.21,82.9,1
47,4.0,2.0,9.0,137843.8,1.0,1.0,1.0,117622.8,1.0,0.0,0.0,0.0,3015.9692307692308,16.333333333333332,0.1,184.65117739403453,0.8532987823987558,11762.28,117622.8,63.7,1
48,3.0,2.0,2.0,103391.38,1.0,0.0,1.0,90878.13,1.0,0.0,1.0,0.0,2391.529736842105,14.473684210526315,0.3333333333333333,165.23296363636365,0.8789635174274932,30292.710000000003,90878.13,183.33333333333334,0
49,5.0,2.0,2.0,103769.22,2.0,1.0,0.0,194099.12,1.0,0.0,0.0,0.0,5245.922162162162,20.972972972972972,0.6666666666666666,250.1277319587629,1.870470352669581,64699.706666666665,97049.56,258.6666666666667,0
50,5.0,3.0,10.0,116363.37,2.0,1.0,0.0,198059.16,1.0,0.0,1.0,0.0,4501.344545454545,15.863636363636363,0.18181818181818182,283.7523782234957,1.7020601752924887,18005.37818181818,99029.58,63.45454545454545,0
51,3.0,2.0,5.0,146050.97,2.0,0.0,0.0,86424.57,1.0,0.0,1.0,0.0,2400.6825000000003,16.25,0.3333333333333333,147.7343076923077,0.5917384750099571,14404.095000000001,43212.285,97.5,0
52,6.0,2.0,5.0,0.0,2.0,0.0,0.0,116978.19,0.0,0.0,0.0,0.0,3544.7936363636363,23.87878787878788,0.3333333333333333,148.44947969543148,116978.19,19496.365,58489.095,131.33333333333334,0
53,4.0,3.0,8.0,125561.97,1.0,0.0,0.0,164040.94,1.0,0.0,1.0,0.0,4000.998536585366,15.975609756097562,0.1111111111111111,250.44418320610689,1.3064436115201798,18226.771111111113,164040.94,72.77777777777777,1
54,4.0,3.0,1.0,98495.72,1.0,1.0,0.0,40014.76,1.0,0.0,1.0,0.0,952.732380952381,14.30952380952381,0.5,66.58029950083196,0.4062547463509445,20007.38,40014.76,300.5,1
55,4.0,3.0,1.0,125211.92,1.0,1.0,1.0,113410.49,0.0,0.0,1.0,0.0,2637.4532558139535,14.395348837209303,0.5,183.21565428109855,0.9057411168112685,56705.245,113410.49,309.5,0
56,4.0,3.0,5.0,127864.4,1.0,1.0,0.0,87107.57,0.0,0.0,1.0,0.0,1935.723777777778,14.577777777777778,0.16666666666666666,132.7859298780488,0.6812442615437797,14517.928333333335,87107.57,109.33333333333333,0
57,5.0,1.0,0.0,75888.2,1.0,0.0,0.0,45613.75,1.0,0.0,1.0,0.0,2400.7236842105262,38.1578947368421,1.0,62.91551724137931,0.601057199179857,45613.75,45613.75,725.0,0
58,3.0,5.0,4.0,0.0,1.0,1.0,0.0,1643.11,0.0,1.0,0.0,1.0,24.89560606060606,7.742424242424242,0.2,3.2154794520547942,1643.11,328.62199999999996,1643.11,102.2,1
59,4.0,4.0,4.0,40685.92,1.0,1.0,1.0,46775.28,0.0,0.0,1.0,0.0,917.1623529411764,12.03921568627451,0.2,76.18123778501628,1.1496392452414683,9355.056,46775.28,122.8,0
60,5.0,2.0,5.0,136857.0,1.0,0.0,0.0,84509.57,1.0,0.0,1.0,0.0,2414.559142857143,21.2,0.16666666666666666,113.89429919137467,0.6174982098233206,14084.928333333335,84509.57,123.66666666666667,0
61,5.0,1.0,9.0,152328.88,2.0,0.0,0.0,126494.82,1.0,0.0,0.0,0.0,4684.993333333334,25.444444444444443,0.2,184.12637554585154,0.8304005753828467,12649.482,63247.41,68.7,0
62,3.0,2.0,1.0,56084.69,2.0,0.0,0.0,178798.13,0.0,1.0,1.0,0.0,5418.125151515152,16.818181818181817,1.0,322.1587927927928,3.187945623919399,89399.065,89399.065,277.5,0
63,5.0,4.0,8.0,78707.16,1.0,1.0,1.0,99398.36,0.0,1.0,1.0,0.0,1774.9707142857144,12.214285714285714,0.1111111111111111,145.31923976608186,1.2628723629163736,11044.262222222222,99398.36,76.0,0
64,4.0,1.0,4.0,109166.37,1.0,1.0,1.0,92840.67,1.0,0.0,1.0,0.0,3570.795,23.192307692307693,0.2,153.96462686567165,0.8504434063035502,18568.134,92840.67,120.6,0
65,5.0,2.0,6.0,169831.46,2.0,1.0,1.0,27758.36,1.0,0.0,0.0,0.0,771.0655555555555,20.86111111111111,0.2857142857142857,36.961864181091876,0.16344555098595406,3965.48,13879.18,107.28571428571429,0
66,3.0,2.0,1.0,101633.04,1.0,1.0,0.0,110431.51,1.0,0.0,0.0,0.0,3247.985588235294,17.08823529411765,0.5,190.07144578313253,1.0865602705550228,55215.755,110431.51,290.5,0
67,5.0,3.0,10.0,123180.01,2.0,1.0,1.0,196673.28,1.0,0.0,1.0,0.0,4573.797209302325,17.093023255813954,0.18181818181818182,267.58269387755104,1.5966201283785546,17879.38909090909,98336.64,66.81818181818181,0
68,5.0,2.0,5.0,150725.53,2.0,0.0,1.0,113656.85,1.0,0.0,0.0,0.0,3247.3385714285714,18.885714285714286,0.3333333333333333,171.94682299546142,0.7540600184984024,18942.808333333334,56828.425,110.16666666666667,0
69,5.0,1.0,8.0,98373.26,1.0,1.0,0.0,18203.0,0.0,0.0,0.0,0.0,866.8095238095239,32.142857142857146,0.1111111111111111,26.967407407407407,0.18503824069426292,2022.5555555555557,18203.0,75.0,0
70,5.0,4.0,2.0,133745.44,4.0,1.0,0.0,28373.86,1.0,0.0,1.0,0.0,489.2044827586207,12.724137931034482,1.3333333333333333,38.4469647696477,0.21214665601566665,9457.953333333333,7093.465,246.0,1
71,6.0,1.0,6.0,0.0,1.0,1.0,0.0,33953.87,0.0,0.0,1.0,0.0,1170.823103448276,28.03448275862069,0.14285714285714285,41.76367773677737,33953.87,4850.552857142858,33953.87,116.14285714285714,0
72,4.0,2.0,0.0,163607.18,1.0,0.0,1.0,44203.55,0.0,1.0,0.0,0.0,1194.6905405405407,17.756756756756758,1.0,67.28089802130899,0.2701793394437858,44203.55,44203.55,657.0,0
73,4.0,1.0,5.0,157780.84,2.0,1.0,1.0,58426.81,1.0,0.0,0.0,0.0,2337.0724,24.16,0.3333333333333333,96.73312913907284,0.3703012336527448,9737.801666666666,29213.405,100.66666666666667,0
74,3.0,2.0,9.0,0.0,2.0,0.0,1.0,145562.4,0.0,0.0,1.0,0.0,4043.3999999999996,14.416666666666666,0.2,280.46705202312137,145562.4,14556.24,72781.2,51.9,0
75,5.0,1.0,1.0,178718.19,2.0,1.0,0.0,22388.0,0.0,0.0,0.0,0.0,1066.095238095238,35.0,1.0,30.45986394557823,0.1252691442927869,11194.0,11194.0,367.5,0
76,5.0,4.0,8.0,0.0,2.0,1.0,1.0,139161.64,0.0,0.0,1.0,0.0,2530.2116363636364,12.072727272727272,0.2222222222222222,209.58078313253014,139161.64,15462.404444444446,69580.82,73.77777777777777,0
77,5.0,2.0,9.0,0.0,1.0,1.0,1.0,148210.64,0.0,0.0,0.0,0.0,4631.5825,21.1875,0.1,218.59976401179944,148210.64,14821.064000000002,148210.64,67.8,0
78,5.0,2.0,5.0,77253.22,1.0,0.0,1.0,194239.63,0.0,1.0,1.0,0.0,5886.049393939394,22.939393939393938,0.16666666666666666,256.591321003963,2.514291517020041,32373.271666666667,194239.63,126.16666666666667,0
79,2.0,3.0,10.0,122189.66,2.0,1.0,0.0,98301.61,1.0,0.0,0.0,0.0,2397.600243902439,10.146341463414634,0.18181818181818182,236.30194711538462,0.8044936495146192,8936.51,49150.805,37.81818181818182,0
80,5.0,2.0,1.0,96645.54,2.0,0.0,0.0,171413.66,0.0,0.0,0.0,0.0,5041.578235294118,19.558823529411764,1.0,257.76490225563913,1.7736140372950755,85706.83,85706.83,332.5,0
81,5.0,2.0,2.0,0.0,1.0,1.0,0.0,136458.19,0.0,0.0,0.0,0.0,4264.3184375,24.28125,0.3333333333333333,175.62186615186616,136458.19,45486.06333333333,136458.19,259.0,1
82,3.0,2.0,3.0,0.0,2.0,0.0,0.0,26019.59,0.0,0.0,0.0,0.0,722.7663888888889,15.083333333333334,0.5,47.918213627992635,26019.59,6504.8975,13009.795,135.75,0
83,3.0,2.0,4.0,90307.62,1.0,1.0,1.0,159235.29,0.0,0.0,0.0,0.0,4683.390882352942,14.882352941176471,0.2,314.6942490118577,1.7632346723933996,31847.058,159235.29,101.2,0
84,2.0,3.0,4.0,0.0,2.0,1.0,0.0,1907.66,0.0,0.0,0.0,0.0,41.47086956521739,10.717391304347826,0.4,3.8694929006085195,1907.66,381.53200000000004,953.83,98.6,0
85,4.0,5.0,10.0,0.0,2.0,1.0,1.0,114675.75,0.0,1.0,0.0,1.0,1529.01,8.693333333333333,0.18181818181818182,175.88305214723925,114675.75,10425.068181818182,57337.875,59.27272727272727,0
86,5.0,1.0,3.0,121681.82,1.0,1.0,0.0,128643.35,0.0,1.0,1.0,0.0,5847.425,34.09090909090909,0.25,171.52446666666668,1.05720224103945,32160.8375,128643.35,187.5,1
87,5.0,1.0,9.0,0.0,2.0,1.0,0.0,151869.35,0.0,0.0,1.0,0.0,5062.3116666666665,24.3,0.2,208.3255829903978,151869.35,15186.935000000001,75934.675,72.9,0
88,4.0,3.0,4.0,0.0,3.0,1.0,0.0,93251.42,0.0,0.0,0.0,0.0,2027.2047826086957,14.043478260869565,0.6,144.35204334365324,93251.42,18650.284,31083.806666666667,129.2,1
89,4.0,1.0,3.0,81623.67,2.0,1.0,1.0,156791.36,1.0,0.0,0.0,0.0,5599.691428571428,22.678571428571427,0.5,246.9155275590551,1.920882007853753,39197.84,78395.68,158.75,0
90,4.0,3.0,5.0,0.0,3.0,1.0,1.0,174205.22,0.0,1.0,0.0,0.0,3959.2095454545456,14.704545454545455,0.5,269.2507264296754,174205.22,29034.203333333335,58068.40666666667,107.83333333333333,1
91,6.0,3.0,7.0,118626.55,2.0,1.0,0.0,147132.46,0.0,0.0,1.0,0.0,3269.610222222222,17.955555555555556,0.25,182.09462871287127,1.240289123395029,18391.5575,73566.23,101.0,0
92,3.0,2.0,10.0,0.0,2.0,1.0,0.0,109614.57,0.0,0.0,0.0,0.0,3044.849166666667,14.555555555555555,0.18181818181818182,209.1881106870229,109614.57,9964.960909090909,54807.285,47.63636363636363,0
93,5.0,1.0,8.0,0.0,2.0,1.0,1.0,172290.61,0.0,0.0,1.0,0.0,5941.055517241379,26.517241379310345,0.2222222222222222,224.04500650195055,172290.61,19143.40111111111,86145.305,85.44444444444444,0
94,5.0,3.0,4.0,0.0,2.0,0.0,1.0,85982.47,0.0,1.0,1.0,0.0,2047.2016666666666,17.38095238095238,0.4,117.78420547945205,85982.47,17196.494,42991.235,146.0,0
95,3.0,2.0,10.0,176273.95,1.0,0.0,1.0,121277.78,0.0,1.0,1.0,0.0,3465.0794285714287,14.714285714285714,0.09090909090909091,235.49083495145632,0.6880034854640434,11025.252727272727,121277.78,46.81818181818182,0
96,5.0,3.0,9.0,102827.44,1.0,0.0,1.0,64595.25,0.0,1.0,1.0,0.0,1575.4939024390244,18.853658536585368,0.1,83.5643596377749,0.6281846734230335,6459.525,64595.25,77.3,0
97,6.0,1.0,8.0,97086.4,2.0,1.0,1.0,197276.13,1.0,0.0,1.0,0.0,6802.625172413793,28.06896551724138,0.2222222222222222,242.35396805896806,2.031943691972388,21919.57,98638.065,90.44444444444444,0
98,5.0,1.0,8.0,0.0,2.0,0.0,0.0,99645.04,0.0,1.0,1.0,0.0,4529.32,32.27272727272727,0.2222222222222222,140.34512676056337,99645.04,11071.67111111111,49822.52,78.88888888888889,0
99,2.0,2.0,9.0,0.0,2.0,0.0,0.0,6534.18,0.0,0.0,1.0,0.0,192.18176470588236,12.147058823529411,0.2,15.821259079903149,6534.18,653.418,3267.09,41.3,0
100,5.0,2.0,6.0,0.0,1.0,1.0,1.0,161848.03,0.0,0.0,0.0,0.0,4046.20075,16.625,0.14285714285714285,243.3804962406015,161848.03,23121.147142857142,161848.03,95.0,0
101,4.0,3.0,6.0,0.0,2.0,0.0,0.0,167162.43,0.0,0.0,0.0,0.0,3799.1461363636363,14.159090909090908,0.2857142857142857,268.31850722311395,167162.43,23880.347142857143,83581.215,89.0,0
102,5.0,2.0,9.0,82674.15,1.0,1.0,0.0,41970.72,0.0,0.0,1.0,0.0,1353.8941935483872,23.806451612903224,0.1,56.87089430894309,0.5076582262021901,4197.072,41970.72,73.8,0
103,3.0,2.0,7.0,0.0,2.0,1.0,0.0,60536.56,0.0,1.0,1.0,0.0,1681.5711111111111,14.666666666666666,0.25,114.65257575757575,60536.56,7567.07,30268.28,66.0,0
104,5.0,5.0,1.0,0.0,1.0,1.0,1.0,177655.68,0.0,1.0,0.0,1.0,2733.1643076923074,10.307692307692308,0.5,265.15773134328356,177655.68,88827.84,177655.68,335.0,1
105,4.0,3.0,4.0,107073.27,2.0,1.0,1.0,30984.59,0.0,1.0,0.0,0.0,673.5780434782608,13.521739130434783,0.4,49.81445337620579,0.289374748947623,6196.918,15492.295,124.4,1
106,3.0,2.0,1.0,88938.62,1.0,1.0,1.0,10054.53,1.0,0.0,1.0,0.0,314.2040625,18.1875,0.5,17.275824742268043,0.11304894264221053,5027.265,10054.53,291.0,0
107,6.0,2.0,2.0,99806.85,1.0,0.0,1.0,36976.52,1.0,0.0,0.0,0.0,1027.1255555555554,21.805555555555557,0.3333333333333333,47.10384713375796,0.37047707169325855,12325.506666666666,36976.52,261.6666666666667,0
108,4.0,2.0,5.0,150092.8,1.0,0.0,0.0,71862.79,0.0,1.0,1.0,0.0,2177.6603030303027,18.333333333333332,0.16666666666666666,118.78147107438015,0.4787858659051873,11977.131666666666,71862.79,100.83333333333333,0
109,2.0,2.0,9.0,92833.89,1.0,1.0,0.0,99449.86,1.0,0.0,1.0,0.0,2841.4245714285717,13.685714285714285,0.1,207.61974947807934,1.0712552144996348,9944.986,99449.86,47.9,1
110,5.0,1.0,3.0,90536.81,1.0,0.0,1.0,63082.88,1.0,0.0,1.0,0.0,2102.7626666666665,22.833333333333332,0.25,92.09179562043795,0.6967572995193941,15770.72,63082.88,171.25,0
111,3.0,2.0,7.0,108055.1,2.0,1.0,0.0,27231.26,1.0,0.0,1.0,0.0,698.2374358974358,13.794871794871796,0.25,50.615724907063196,0.2520103908988016,3403.9075,13615.63,67.25,0
112,3.0,3.0,2.0,100238.35,1.0,0.0,0.0,86797.41,0.0,0.0,1.0,0.0,2066.605,13.380952380952381,0.3333333333333333,154.4437900355872,0.8659015646051177,28932.47,86797.41,187.33333333333334,0
113,5.0,2.0,9.0,106190.55,1.0,0.0,1.0,22994.32,0.0,1.0,1.0,0.0,638.7311111111111,18.75,0.1,34.065659259259256,0.21653624982402084,2299.432,22994.32,67.5,0
114,5.0,1.0,9.0,154475.54,2.0,0.0,1.0,101300.94,1.0,0.0,1.0,0.0,3617.8907142857142,25.75,0.2,140.5006102635229,0.6557690895976825,10130.094000000001,50650.47,72.1,1
115,4.0,1.0,9.0,132351.29,2.0,1.0,1.0,74169.13,1.0,0.0,0.0,0.0,2472.3043333333335,20.933333333333334,0.2,118.10371019108281,0.5603917393495799,7416.9130000000005,37084.565,62.8,0
116,5.0,2.0,6.0,167864.4,1.0,1.0,0.0,115638.29,1.0,0.0,0.0,0.0,3125.3591891891892,18.054054054054053,0.14285714285714285,173.1112125748503,0.6888750749112086,16519.755714285715,115638.29,95.42857142857143,0
117,3.0,3.0,1.0,0.0,2.0,1.0,0.0,31766.3,0.0,0.0,0.0,0.0,774.7878048780487,12.341463414634147,1.0,62.77924901185771,31766.3,15883.15,15883.15,253.0,0
118,3.0,2.0,8.0,107818.63,1.0,1.0,0.0,199725.39,1.0,0.0,0.0,0.0,6442.754516129033,16.903225806451612,0.1111111111111111,381.15532442748093,1.85240285094653,22191.710000000003,199725.39,58.22222222222222,1
119,5.0,2.0,4.0,185173.81,2.0,1.0,0.0,120834.48,1.0,0.0,1.0,0.0,3553.955294117647,20.558823529411764,0.4,172.86763948497853,0.6525427513601877,24166.896,60417.24,139.8,0
120,6.0,2.0,8.0,129433.34,2.0,0.0,0.0,38131.77,0.0,0.0,1.0,0.0,1121.5226470588234,24.352941176470587,0.2222222222222222,46.052862318840575,0.29460319417551784,4236.863333333333,19065.885,92.0,0
121,5.0,2.0,6.0,120193.42,1.0,0.0,0.0,100130.95,0.0,1.0,1.0,0.0,2567.4602564102565,17.28205128205128,0.14285714285714285,148.5622403560831,0.833074863209124,14304.421428571428,100130.95,96.28571428571429,0
122,4.0,2.0,6.0,0.0,2.0,1.0,0.0,141069.88,0.0,0.0,0.0,0.0,3617.1764102564102,16.82051282051282,0.2857142857142857,215.04554878048782,141069.88,20152.84,70534.94,93.71428571428571,0
123,5.0,3.0,10.0,126384.42,1.0,1.0,1.0,198129.36,1.0,0.0,0.0,0.0,4127.695,14.25,0.09090909090909091,289.66280701754386,1.5676599405216203,18011.76,198129.36,62.18181818181818,0
124,4.0,1.0,3.0,0.0,1.0,0.0,0.0,183646.41,0.0,0.0,0.0,0.0,6558.800357142857,22.321428571428573,0.25,293.834256,183646.41,45911.6025,183646.41,156.25,0
125,2.0,3.0,9.0,152603.45,1.0,1.0,0.0,110265.24,0.0,0.0,1.0,0.0,2625.362857142857,10.285714285714286,0.1,255.24361111111114,0.7225558625583985,11026.524000000001,110265.24,43.2,1
